Original  Reconstructed
-0.35   -0.20  
0.03    0.15   
-0.20   0.04   
-0.18   -0.15  
-0.66   -0.52  
-0.81   -0.57  
-0.46   -0.75  
-1.27   -1.36  
0.03    -0.88  
-0.10   -0.39  
-0.03   -0.61  
-0.39   -0.17  
-0.53   -0.62  
-0.42   -0.87  
-1.41   -1.26  
-2.44   -2.17  
-0.87   -0.52  
0.03    0.22   
-0.97   -0.91  
-0.58   -0.62  
-0.37   -0.06  
0.05    0.10   
-0.06   0.22   
0.45    0.86   
0.39    0.38   
-1.15   -1.09  
0.90    0.69   
0.52    0.50   
0.27    0.69   
0.44    0.42   
0.22    0.32   
0.38    0.76   
0.45    0.81   
0.46    0.62   
-0.53   -0.51  
0.62    0.51   
0.79    0.86   
0.48    0.66   
0.03    0.27   
0.26    0.35   
0.20    0.44   
0.25    0.33   
0.29    0.42   
0.40    0.78   
0.35    0.62   
0.20    0.41   
0.15    0.26   
0.45    0.39   
0.26    0.19   
0.54    0.44   
-0.09   0.21   
0.26    -0.09  
0.33    0.39   
0.23    0.67   
